model,step,nll_val_avg,nll_val_dim1,nll_val_dim2,nll_val_dim3,nll_val_dim4,nll_val_dim5,nll_val_dim6
bidirectional,8300,-1.0206865121920903,-1.9256982803344727,-1.3684275150299072,-1.044283390045166,-0.6734524965286255,-0.6995896100997925,-0.41266778111457825
bidirectional,8400,-0.949558029572169,-1.70902681350708,-1.197558879852295,-0.8187859058380127,-0.6820976138114929,-0.7610387206077576,-0.5288402438163757
bidirectional,8500,-0.9741241286198298,-2.01859974861145,-1.3366755247116089,-0.9866858720779419,-0.6580453515052795,-0.57361900806427,-0.27111926674842834
bidirectional,8600,-1.0503046313921611,-2.086763858795166,-1.3684417009353638,-1.0410975217819214,-0.6741043329238892,-0.6040675044059753,-0.5273528695106506
bidirectional,8700,-0.9358037660519282,-1.999114990234375,-1.031010389328003,-0.8946219086647034,-0.5567247271537781,-0.6984460353851318,-0.434904545545578
bidirectional,8800,-1.114769071340561,-2.107469320297241,-1.402795433998108,-1.0909188985824585,-0.809512734413147,-0.7777790427207947,-0.5001389980316162
bidirectional,8900,-1.0873721241950989,-2.030571222305298,-1.3563859462738037,-1.1225734949111938,-0.7588417530059814,-0.8162435293197632,-0.4396167993545532
bidirectional,9000,-1.110522598028183,-2.0303919315338135,-1.4046963453292847,-1.128464937210083,-0.8097329139709473,-0.7229102253913879,-0.5669392347335815
bidirectional,9100,-1.0519416332244873,-1.9302295446395874,-1.3604700565338135,-1.0267300605773926,-0.7626502513885498,-0.7280879616737366,-0.503481924533844
bidirectional,9200,-0.8203092217445374,-0.6535844206809998,-1.1726107597351074,-0.9438430070877075,-0.806206226348877,-0.7660536170005798,-0.5795572996139526
bidirectional,9300,-1.0781497309605281,-2.145181655883789,-1.300001621246338,-1.1243255138397217,-0.7137808799743652,-0.7008766531944275,-0.484732061624527
bidirectional,9400,-1.0523920754591625,-2.01965069770813,-1.3012953996658325,-1.0774646997451782,-0.7601243257522583,-0.6277746558189392,-0.5280426740646362
bidirectional,9500,-1.1152320802211761,-2.0029516220092773,-1.4426307678222656,-0.9559971690177917,-0.8580130338668823,-0.7883738875389099,-0.6434260010719299
bidirectional,9600,-1.1219358146190643,-2.2040414810180664,-1.4653931856155396,-1.013482689857483,-0.7830554842948914,-0.7400567531585693,-0.5255852937698364
bidirectional,9700,-0.9617764800786972,-2.0864717960357666,-1.236249566078186,-0.9416152238845825,-0.5918213129043579,-0.5025474429130554,-0.41195353865623474
bidirectional,9800,-1.066966970761617,-2.09958553314209,-1.249943733215332,-0.9785917401313782,-0.7577399015426636,-0.7817560434341431,-0.5341848731040955
bidirectional,9900,-1.0590623319149017,-1.9152575731277466,-1.3861521482467651,-0.961275041103363,-0.743999183177948,-0.8458084464073181,-0.5018815994262695
bidirectional,10000,-0.9684528857469559,-2.0935251712799072,-1.261629343032837,-0.9018114805221558,-0.5602662563323975,-0.5583896040916443,-0.4350954592227936
bidirectional,10100,-0.9587258001168569,-1.1182801723480225,-1.3985552787780762,-1.0729037523269653,-0.8470478653907776,-0.7757064700126648,-0.539861261844635
bidirectional,10200,-1.0967738628387451,-1.8971405029296875,-1.5229793787002563,-1.1009327173233032,-0.7448491454124451,-0.7234749794006348,-0.5912664532661438
bidirectional,10300,-1.0567148725191753,-2.2359237670898438,-1.482524037361145,-1.0180654525756836,-0.6418346762657166,-0.6019717454910278,-0.3599695563316345
bidirectional,10400,-1.1393707195917766,-2.1434922218322754,-1.4724220037460327,-1.0458768606185913,-0.7889119386672974,-0.8093797564506531,-0.5761415362358093
bidirectional,10500,-0.893562247355779,-0.9784271121025085,-1.1324212551116943,-1.061355710029602,-0.8075980544090271,-0.7704259753227234,-0.6111453771591187
bidirectional,10600,-1.0832612415154774,-1.9903740882873535,-1.2686091661453247,-1.0963410139083862,-0.6881816387176514,-0.8494006395339966,-0.6066609025001526
bidirectional,10700,-1.1832993626594543,-2.2698662281036377,-1.4229289293289185,-1.0549030303955078,-0.887008786201477,-0.8186860084533691,-0.6464031934738159
bidirectional,10800,-1.0242495735486348,-1.4748047590255737,-1.2645820379257202,-1.0785744190216064,-0.8505696654319763,-0.8431869149208069,-0.6337796449661255
bidirectional,10900,-1.188297986984253,-2.2282378673553467,-1.5097330808639526,-1.1272372007369995,-0.7995457649230957,-0.8545263409614563,-0.6105076670646667
